FID	IID	UHML	FS	Enlongation	UI
S324	S324	28.1343819310927	29.7394328532345	6.60501408734363	85.9973923649382
S325	S325	29.8797839109406	28.655475169138	6.66189545973663	84.9237162704658
S326	S326	31.347297894492	32.2655874853622	6.74721751832611	85.9973923649382
S328	S328	29.1168549369366	27.880564350348	6.64233560660834	86.1194010120373
S329	S329	30.1864615246953	31.9525357343394	6.8040988907191	86.4366234944951
S330	S330	27.8883444253433	26.3076756171364	6.41371761188824	84.7883626578389
S331	S331	31.4172456191661	28.6908403644267	6.74721751832611	85.3873491294425
S332	S332	28.0682731368984	27.7022092702219	6.66189545973663	84.3868782232295
S333	S333	29.4524531642435	37.204176902056	6.72522325908077	85.8509819884193
S334	S334	28.1193670305252	29.2750980034335	6.51969202875415	85.6313664236408
S335	S335	30.2911270990212	36.5076207355391	6.81115974324505	86.3390165768158
S337	S337	28.6895241902394	31.1816298012658	6.7218240328797	84.0208522819321
S338	S338	29.3955489021738	31.2769563911574	6.68207981974402	84.5332885997485
S340	S340	26.9862322975779	26.9272984514319	6.54813271495064	83.5084159641157
S341	S341	28.5879327531718	32.3901841125296	6.69033614593312	86.1194010120373
S343	S343	28.3500564478856	29.3104631987222	6.63345477354013	85.460554317702
S344	S344	29.1366000036412	28.0712175301313	6.57657340114714	85.7533750707399
S345	S345	30.0829940164258	33.4218046637187	6.71877683212962	86.6806407886934
S346	S346	29.9122982068849	28.7677736966482	6.49125134255765	85.4117508588623
S347	S347	29.778818489536	31.5799080984508	6.69033614593312	86.4366234944951
S348	S348	28.4293485496476	26.2600123221906	6.4932060381596	84.8261093527865
S349	S349	27.5480444017888	24.7824501788706	6.56624640653804	82.89837272862
S350	S350	27.5468789327667	29.4348233894149	6.60501408734363	83.898843634833
S351	S351	29.0319685230394	29.6917695582887	6.46281065636116	85.4361525882822
S352	S352	29.5077211336119	29.2274347084877	6.74721751832611	85.8021785295796
S353	S353	28.7638425809694	30.5143436720245	6.60259139347266	85.7045716119003
S354	S354	27.3356013942894	28.3571972998061	6.57269446443096	84.8993145410459
S355	S355	29.0390571158082	32.61152864964	6.63345477354013	86.2658113885563
S356	S356	28.7591976815488	32.3075977317006	6.63345477354013	85.9973923649382
S357	S357	29.9343572349659	32.5638653546941	6.60501408734363	85.9241871766787
S358	S358	27.4556415400093	26.8919332561431	6.54813271495064	84.2160661172907
S359	S359	30.0944826866512	30.2637290976384	6.77565820452261	86.5586321415943
S360	S360	27.9242812548591	27.337874848274	6.51969202875415	84.7041007056873
S361	S361	28.2231890850662	28.893791643867	6.54813271495064	84.6796989762675
S362	S362	30.8796596522232	36.8151525095067	6.85090395638073	86.7250521534498
S363	S363	27.8917669589148	24.689903970134	6.48675798026669	84.2404678467106
S364	S364	31.9689479723067	33.0500000898193	6.71877683212962	85.6069646942209
S365	S365	26.9024033823225	30.133037312458	6.52650219340237	85.1433318352442
S366	S366	28.7687187451893	28.8461283489212	6.51969202875415	85.6313664236408
S367	S367	29.4605774940625	30.3236904922412	6.57657340114714	85.8265802589994
S368	S368	29.292046616819	31.0164631958418	6.51969202875415	85.9241871766787
S369	S369	28.5154058471271	32.9451717142606	6.66189545973663	85.1433318352442
S370	S370	26.9349176782669	27.0825864359264	6.60501408734363	83.1179882933985
S371	S371	30.1769464724838	32.9451717142606	6.69033614593312	85.4849560471218
S372	S372	29.7519408070391	34.6010889377068	6.8040988907191	87.2662822947693
S373	S373	31.2489756883071	34.0414274980141	6.7756582045226	86.4610252239149
S375	S375	29.4442874522022	29.8640294804018	6.63345477354013	85.7045716119003
S376	S376	28.5804344390158	35.0900199868219	6.76156824601538	85.7045716119003
S377	S377	27.5920239550401	29.1967433511605	6.69033614593312	86.1438027414572
S378	S378	28.2726487114057	27.0042317836534	6.52650219340237	86.4122217650753
S379	S379	28.6291404977714	30.8479867366451	6.64233560660834	86.1058177569139
S380	S380	27.7304178450421	28.4664724875208	6.51969202875415	84.0940574701916
S381	S381	29.1458898024825	29.6087410680541	6.69033614593312	85.1433318352442
S382	S382	29.8461041459741	30.5789789045889	6.60599061967372	85.7777768001598
S383	S383	25.597186645128	25.7357160777867	6.32060722537868	83.2155952110778
S384	S384	27.6375198566297	28.3694953994632	6.54813271495064	85.1433318352442
S385	S385	25.739760457878	26.7234408641115	6.43436997016466	83.2399969404976
S387	S387	29.0795437840967	31.4369182136134	6.74721751832611	85.6313664236408
S388	S388	29.8756364857879	30.6743054944805	6.69033614593312	85.8997854472589
S389	S389	29.2654917183965	31.5330639561782	6.7218240328797	85.8153143325722
S390	S390	29.030989682816	33.1834881889896	6.66189545973662	85.0701266469847
S391	S391	31.5915175679192	38.3311240431368	6.8325395769156	85.9485889060986
